,p2pb2b,fastex,kucoin,coinex,binance-us,kraken,btcturk-pro,crypto-com,huobipro,mxc,okx,gateio
bitmax,1.35,1.35,1.34,1.31,1.3,1.25,1.2,1.11,1.05,1.05,1.04,0.95
coinw,1.09,1.09,1.08,1.05,1.04,0.99,0.94,0.85,0.79,0.79,0.78,0.69
cryptology,1.08,1.08,1.07,1.04,1.03,0.98,0.93,0.84,0.78,0.78,0.77,0.68
bitget,1.04,1.04,1.03,1.0,0.99,0.94,0.89,0.8,0.74,0.74,0.73,0.64
probit,1.0,1.0,0.99,0.96,0.95,0.9,0.85,0.76,0.7,0.7,0.69,0.6
bingx,1.0,1.0,0.99,0.96,0.95,0.9,0.85,0.76,0.7,0.7,0.69,0.6
exmo,0.95,0.95,0.94,0.91,0.9,0.85,0.8,0.71,0.65,0.65,0.64,0.55
coinbasepro,0.95,0.95,0.94,0.91,0.9,0.85,0.8,0.71,0.65,0.65,0.64,0.55
digifinex,0.92,0.92,0.91,0.88,0.87,0.82,0.77,0.68,0.62,0.62,0.61,0.52
binance,0.9,0.9,0.89,0.86,0.85,0.8,0.75,0.66,0.6,0.6,0.59,0.5
bigone,0.89,0.89,0.88,0.84,0.84,0.79,0.74,0.65,0.59,0.59,0.58,0.49
bybit-spot,0.82,0.82,0.81,0.78,0.77,0.72,0.67,0.58,0.52,0.52,0.51,0.42
