,digifinex,coinw,bybit-spot,bigone,coinbasepro,coinex,bitget,bingx,binance-us,gateio,btcturk-pro,phemex-spot
latoken,4.45,4.45,4.42,4.37,4.3,4.23,4.19,4.15,4.15,4.1,4.05,4.0
probit,2.23,2.23,2.2,2.14,2.07,2.0,1.96,1.92,1.92,1.87,1.82,1.77
indodax,1.25,1.25,1.21,1.16,1.09,1.02,0.98,0.93,0.93,0.88,0.83,0.78
bitmax,0.94,0.94,0.9,0.85,0.78,0.71,0.66,0.62,0.62,0.57,0.52,0.47
exmo,0.73,0.73,0.7,0.64,0.57,0.5,0.46,0.42,0.42,0.36,0.31,0.26
kucoin,0.63,0.63,0.6,0.54,0.47,0.4,0.36,0.32,0.32,0.26,0.21,0.16
huobipro,0.63,0.63,0.59,0.53,0.47,0.4,0.35,0.31,0.31,0.26,0.21,0.16
deepcoin,0.57,0.57,0.54,0.48,0.41,0.35,0.3,0.26,0.26,0.21,0.16,0.1
mxc,0.57,0.57,0.54,0.48,0.41,0.35,0.3,0.26,0.26,0.21,0.16,0.1
p2pb2b,0.57,0.57,0.54,0.48,0.41,0.35,0.3,0.26,0.26,0.21,0.16,0.1
bydfi,0.57,0.57,0.54,0.48,0.41,0.35,0.3,0.26,0.26,0.21,0.16,0.1
binance,0.57,0.57,0.54,0.48,0.41,0.35,0.3,0.26,0.26,0.21,0.16,0.1
