,huobipro,deepcoin,cryptology,coinex,p2pb2b,coinbasepro,bitget,bitmax,kraken,exmo,digifinex,bybit-spot
latoken,3.45,3.4,3.37,3.32,3.3,3.3,3.28,3.25,3.25,3.25,3.22,3.17
probit,1.73,1.67,1.65,1.59,1.57,1.57,1.55,1.52,1.52,1.52,1.49,1.44
btcturk-pro,0.78,0.73,0.71,0.65,0.63,0.63,0.61,0.58,0.58,0.58,0.54,0.5
indodax,0.68,0.63,0.6,0.54,0.52,0.52,0.51,0.47,0.47,0.47,0.44,0.39
gateio,0.68,0.63,0.6,0.54,0.52,0.52,0.51,0.47,0.47,0.47,0.44,0.39
fastex,0.63,0.58,0.55,0.49,0.47,0.47,0.45,0.42,0.42,0.42,0.39,0.34
kucoin,0.6,0.54,0.52,0.46,0.44,0.44,0.42,0.39,0.39,0.39,0.36,0.31
crypto-com,0.55,0.5,0.48,0.42,0.4,0.4,0.38,0.35,0.35,0.35,0.31,0.27
bigone,0.53,0.48,0.45,0.4,0.38,0.38,0.36,0.32,0.32,0.32,0.29,0.24
mxc,0.42,0.37,0.34,0.28,0.26,0.26,0.24,0.21,0.21,0.21,0.18,0.13
okx,0.41,0.36,0.33,0.28,0.26,0.26,0.24,0.2,0.2,0.2,0.17,0.12
phemex-spot,0.37,0.31,0.29,0.23,0.21,0.21,0.19,0.16,0.16,0.16,0.13,0.08
