,coinbasepro,deepcoin,probit,cryptology,huobipro,coinex,binance-us,kraken,bigone,bybit-spot,bingx,phemex-spot
latoken,3.65,3.54,3.44,3.43,3.09,3.01,2.99,2.89,2.67,2.59,2.53,2.53
exmo,1.93,1.82,1.72,1.71,1.36,1.28,1.26,1.15,0.93,0.85,0.79,0.79
okx,1.58,1.48,1.38,1.37,1.02,0.93,0.91,0.81,0.59,0.5,0.44,0.44
mxc,1.56,1.46,1.36,1.35,1.0,0.91,0.89,0.79,0.57,0.48,0.42,0.42
bydfi,1.56,1.46,1.36,1.35,1.0,0.91,0.89,0.79,0.57,0.48,0.42,0.42
gateio,1.51,1.41,1.3,1.29,0.94,0.86,0.84,0.73,0.51,0.43,0.37,0.37
kucoin,1.51,1.4,1.3,1.29,0.94,0.85,0.83,0.73,0.51,0.43,0.36,0.36
bitget,1.44,1.33,1.23,1.22,0.87,0.78,0.77,0.66,0.44,0.36,0.3,0.3
p2pb2b,1.41,1.3,1.2,1.19,0.84,0.75,0.73,0.63,0.41,0.33,0.26,0.26
digifinex,1.36,1.26,1.16,1.15,0.8,0.71,0.69,0.59,0.37,0.28,0.22,0.22
fastex,1.3,1.2,1.1,1.09,0.73,0.65,0.63,0.52,0.3,0.22,0.16,0.16
btcturk-pro,1.3,1.2,1.1,1.09,0.73,0.65,0.63,0.52,0.3,0.22,0.16,0.16
