,btcturk-pro,bydfi,gateio,kucoin,binance,mxc,crypto-com,p2pb2b,deepcoin,probit,fastex,cryptology
latoken,3.24,2.99,2.99,2.99,2.94,2.89,2.88,2.79,2.79,2.79,2.79,2.76
exmo,3.13,2.88,2.88,2.88,2.83,2.78,2.77,2.68,2.68,2.68,2.68,2.65
bitmax,1.13,0.87,0.87,0.87,0.82,0.77,0.76,0.67,0.67,0.67,0.67,0.64
coinbasepro,1.03,0.77,0.77,0.77,0.72,0.67,0.66,0.57,0.57,0.57,0.57,0.54
bigone,0.79,0.54,0.54,0.54,0.49,0.44,0.43,0.33,0.33,0.33,0.33,0.3
kraken,0.77,0.51,0.51,0.51,0.46,0.41,0.4,0.31,0.31,0.31,0.31,0.28
indodax,0.72,0.46,0.46,0.46,0.41,0.36,0.35,0.26,0.26,0.26,0.26,0.23
bybit-spot,0.69,0.43,0.43,0.43,0.38,0.33,0.32,0.23,0.23,0.23,0.23,0.2
binance-us,0.67,0.41,0.41,0.41,0.36,0.31,0.3,0.21,0.21,0.21,0.21,0.18
bitget,0.6,0.35,0.35,0.35,0.3,0.25,0.24,0.14,0.14,0.14,0.14,0.11
digifinex,0.6,0.34,0.34,0.34,0.29,0.24,0.23,0.14,0.14,0.14,0.14,0.11
coinw,0.57,0.31,0.31,0.31,0.26,0.21,0.2,0.1,0.1,0.1,0.1,0.07
