,coinlist,exmo,kraken,coinbasepro,binance,bybit-spot,coinex,bingx,binance-us,bitmart,okx,gateio
bitmex-spot,1.36,1.32,1.14,1.12,0.96,0.96,0.96,0.95,0.95,0.93,0.92,0.91
lbank,0.6,0.56,0.38,0.36,0.19,0.19,0.19,0.19,0.18,0.16,0.16,0.14
mxc,0.58,0.54,0.36,0.34,0.17,0.17,0.17,0.17,0.16,0.14,0.14,0.12
bydfi,0.56,0.53,0.35,0.32,0.16,0.16,0.16,0.16,0.15,0.13,0.12,0.11
bitget,0.56,0.52,0.34,0.32,0.16,0.16,0.16,0.15,0.14,0.12,0.12,0.11
crypto-com,0.55,0.52,0.34,0.31,0.15,0.15,0.15,0.14,0.14,0.12,0.11,0.1
kucoin,0.55,0.52,0.34,0.31,0.15,0.15,0.15,0.14,0.14,0.12,0.11,0.1
phemex-spot,0.54,0.51,0.33,0.3,0.14,0.14,0.14,0.14,0.13,0.11,0.1,0.09
bitmax,0.52,0.49,0.31,0.28,0.12,0.12,0.12,0.12,0.11,0.09,0.08,0.07
huobipro,0.5,0.46,0.28,0.26,0.1,0.1,0.1,0.09,0.08,0.06,0.06,0.04
gateio,0.45,0.42,0.24,0.21,0.05,0.05,0.05,0.05,0.04,0.02,0.01,0.44
okx,0.41,0.23,0.2,0.04,0.04,0.04,0.03,0.03,0.01,-0.01,0.0,0.0
