,poloniex,binance-us,coinlist,bitmax,coinex,exmo,bitmart,coinbasepro
bitmex-spot,6.48,1.31,1.57,1.45,1.36,1.32,1.28,1.26
cex,5.86,0.66,0.92,0.8,0.71,0.67,0.63,0.61
kucoin,5.83,0.63,0.89,0.77,0.68,0.64,0.6,0.58
poloniex,5.7,0.5,0.76,0.64,0.55,0.51,0.46,0.44
gateio,5.69,0.49,0.74,0.62,0.54,0.5,0.45,0.43
mxc,5.67,0.46,0.72,0.6,0.52,0.47,0.43,0.41
coinbasepro,5.67,0.46,0.72,0.6,0.51,0.47,0.42,0.4
coinbasepro,5.65,0.44,0.7,0.58,0.49,0.45,0.41,0.38
bitfinex,5.63,0.42,0.68,0.56,0.47,0.43,0.39,0.37
huobipro,5.61,0.4,0.66,0.54,0.45,0.41,0.37,0.35
bitmax,5.59,0.38,0.64,0.52,0.43,0.39,0.34,0.32
bydfi,5.59,0.38,0.63,0.51,0.43,0.39,0.34,0.32
