,bitmex-spot,coinlist,mxc,kraken,exmo,gateio,binance,kucoin,bingx,binance-us,huobipro,okx
bitso,1.46,0.88,0.65,0.59,0.56,0.53,0.51,0.51,0.49,0.49,0.49,0.48
coinbasepro,1.18,0.6,0.37,0.31,0.28,0.25,0.23,0.23,0.21,0.21,0.21,0.19
bitmax,1.15,0.56,0.33,0.28,0.25,0.21,0.2,0.19,0.18,0.18,0.17,0.16
bydfi,1.04,0.46,0.23,0.17,0.14,0.11,0.09,0.09,0.07,0.07,0.07,0.06
bybit-spot,1.04,0.46,0.23,0.17,0.14,0.11,0.09,0.09,0.07,0.07,0.07,0.06
bitmart,1.02,0.44,0.21,0.15,0.12,0.09,0.07,0.07,0.05,0.05,0.05,0.04
coinex,1.02,0.44,0.21,0.15,0.12,0.09,0.07,0.07,0.05,0.05,0.05,0.04
bitget,1.0,0.42,0.19,0.13,0.1,0.07,0.05,0.05,0.03,0.03,0.03,0.02
crypto-com,1.0,0.42,0.19,0.13,0.1,0.06,0.05,0.05,0.03,0.03,0.03,0.01
phemex-spot,0.99,0.41,0.18,0.12,0.09,0.06,0.04,0.04,0.02,0.02,0.02,0.01
lbank,0.99,0.41,0.18,0.12,0.09,0.06,0.04,0.04,0.02,0.02,0.02,0.01
okx,0.99,0.4,0.17,0.12,0.09,0.05,0.04,0.03,0.01,0.01,0.01,0.0
