,coinlist,bitmax,binance-us,gateio,coinex,bybit-spot,bydfi,bitget,phemex-spot,mxc,kraken,coinbasepro
bitmex-spot,2.88,2.76,2.6,2.57,2.57,2.56,2.56,2.55,2.54,2.54,2.54,2.54
exmo,0.65,0.53,0.36,0.34,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.3
lbank,0.64,0.52,0.35,0.33,0.33,0.31,0.31,0.3,0.3,0.29,0.29,0.29
okx,0.58,0.46,0.29,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23
bingx,0.57,0.45,0.28,0.26,0.26,0.24,0.24,0.24,0.23,0.22,0.22,0.22
binance,0.57,0.45,0.28,0.26,0.26,0.24,0.24,0.24,0.23,0.22,0.22,0.22
kucoin,0.51,0.39,0.23,0.2,0.2,0.18,0.18,0.18,0.17,0.16,0.16,0.16
huobipro,0.46,0.33,0.17,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.11
bitso,0.42,0.3,0.13,0.11,0.11,0.09,0.09,0.08,0.08,0.07,0.07,0.07
crypto-com,0.37,0.25,0.08,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.02
bitmart,0.36,0.23,0.07,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01
coinbasepro,0.35,0.23,0.06,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0
