,coinlist,huobipro,binance,mxc,bitmax,phemex-spot,crypto-com,gateio,coinbasepro,okx,binance-us,coinex
bitmex-spot,1.26,1.19,1.15,1.15,1.15,1.15,1.13,1.12,1.11,1.09,1.08,1.03
exmo,1.26,1.18,1.15,1.15,1.15,1.14,1.12,1.11,1.1,1.08,1.07,1.03
kraken,0.46,0.38,0.35,0.35,0.35,0.34,0.32,0.31,0.3,0.28,0.27,0.22
lbank,0.38,0.3,0.27,0.27,0.27,0.26,0.24,0.23,0.22,0.2,0.19,0.14
bitget,0.35,0.28,0.24,0.24,0.24,0.24,0.21,0.21,0.2,0.18,0.16,0.12
kucoin,0.3,0.23,0.19,0.19,0.19,0.19,0.17,0.16,0.15,0.13,0.11,0.07
bingx,0.29,0.22,0.18,0.18,0.18,0.17,0.15,0.14,0.14,0.12,0.1,0.06
bydfi,0.28,0.21,0.17,0.17,0.17,0.17,0.14,0.14,0.13,0.11,0.09,0.05
bybit-spot,0.28,0.2,0.17,0.17,0.16,0.16,0.14,0.13,0.12,0.1,0.09,0.04
bitso,0.27,0.2,0.16,0.16,0.16,0.16,0.13,0.13,0.12,0.1,0.08,0.04
bitmart,0.23,0.16,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,0.0
coinex,0.23,0.16,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,0.0
