,exmo,coinbasepro,okx,bitget,huobipro,gateio,coinex,crypto-com,bydfi,phemex-spot,bingx,bitmax
bitmex-spot,4.82,4.78,4.71,4.64,4.64,4.63,4.63,4.6,4.59,4.59,4.55,4.55
coinlist,0.57,0.53,0.45,0.38,0.38,0.37,0.37,0.33,0.33,0.33,0.29,0.29
binance-us,0.5,0.45,0.38,0.31,0.3,0.3,0.3,0.26,0.25,0.25,0.21,0.21
bitso,0.44,0.39,0.32,0.25,0.24,0.24,0.24,0.2,0.19,0.19,0.15,0.15
bitmart,0.38,0.34,0.26,0.19,0.19,0.18,0.18,0.14,0.14,0.14,0.1,0.1
lbank,0.36,0.31,0.24,0.17,0.16,0.16,0.16,0.12,0.11,0.11,0.08,0.07
kraken,0.31,0.26,0.19,0.12,0.11,0.11,0.11,0.07,0.06,0.06,0.03,0.02
mxc,0.31,0.26,0.19,0.12,0.11,0.11,0.11,0.07,0.06,0.06,0.03,0.02
kucoin,0.3,0.26,0.18,0.11,0.1,0.1,0.1,0.06,0.06,0.06,0.02,0.01
bybit-spot,0.3,0.25,0.18,0.1,0.1,0.09,0.09,0.06,0.05,0.05,0.01,0.01
binance,0.29,0.25,0.17,0.1,0.09,0.09,0.09,0.05,0.04,0.04,0.01,0.002
bitmax,0.29,0.24,0.17,0.1,0.09,0.09,0.09,0.05,0.04,0.04,0.005,0.0
