,exmo,bitmart,mxc,crypto-com,bitmax,coinex,bitget,bydfi,lbank,binance-us,bitso,coinbasepro
bitmex-spot,5.36,4.81,4.76,4.75,4.75,4.69,4.61,4.58,4.58,4.56,4.5,4.43
okx,1.21,0.63,0.58,0.57,0.57,0.51,0.43,0.4,0.39,0.37,0.31,0.24
kucoin,1.21,0.63,0.58,0.57,0.57,0.51,0.42,0.4,0.39,0.37,0.31,0.24
huobipro,1.17,0.59,0.54,0.54,0.53,0.47,0.39,0.36,0.35,0.33,0.28,0.2
gateio,1.16,0.58,0.53,0.52,0.52,0.46,0.38,0.35,0.34,0.32,0.26,0.19
kraken,1.08,0.5,0.45,0.45,0.44,0.38,0.3,0.27,0.26,0.25,0.19,0.11
coinlist,1.06,0.48,0.43,0.42,0.42,0.36,0.28,0.25,0.24,0.22,0.16,0.09
bingx,1.04,0.46,0.41,0.4,0.4,0.34,0.26,0.23,0.22,0.2,0.14,0.07
phemex-spot,1.03,0.45,0.4,0.4,0.39,0.33,0.25,0.22,0.21,0.2,0.14,0.06
binance,1.03,0.45,0.4,0.39,0.39,0.33,0.24,0.21,0.21,0.19,0.13,0.06
bybit-spot,0.98,0.4,0.35,0.35,0.34,0.28,0.2,0.17,0.16,0.15,0.09,0.01
coinbasepro,0.97,0.39,0.34,0.33,0.33,0.27,0.19,0.16,0.15,0.13,0.07,0.0
