,exmo,kucoin,bitmart,crypto-com,binance-us,mxc,okx,kraken,huobipro,bitso,bydfi,coinbasepro
coinlist,1.4,0.95,0.67,0.58,0.52,0.5,0.46,0.45,0.44,0.43,0.37,0.37
coinex,1.16,0.71,0.43,0.35,0.28,0.27,0.22,0.21,0.2,0.2,0.14,0.14
bitget,1.15,0.7,0.42,0.33,0.27,0.25,0.2,0.2,0.18,0.18,0.12,0.12
binance,1.11,0.66,0.38,0.3,0.23,0.21,0.17,0.16,0.15,0.15,0.09,0.09
bybit-spot,1.1,0.65,0.37,0.28,0.22,0.2,0.16,0.15,0.14,0.13,0.08,0.08
lbank,1.09,0.65,0.37,0.28,0.21,0.2,0.15,0.15,0.13,0.13,0.07,0.07
phemex-spot,1.08,0.63,0.35,0.26,0.2,0.18,0.13,0.13,0.11,0.11,0.05,0.05
bingx,1.08,0.63,0.35,0.26,0.2,0.18,0.13,0.13,0.11,0.11,0.05,0.05
gateio,1.06,0.61,0.33,0.25,0.18,0.16,0.12,0.11,0.1,0.09,0.04,0.04
bitmax,1.04,0.59,0.31,0.23,0.16,0.14,0.1,0.09,0.08,0.08,0.02,0.02
coinbasepro,1.03,0.58,0.3,0.21,0.15,0.13,0.08,0.08,0.06,0.06,0.0,1.03
bydfi,0.58,0.3,0.21,0.15,0.13,0.08,0.08,0.06,0.06,0.0,0.0,0.0
