,crypto-com,bitmax,bitso,mxc,bingx,okx,phemex-spot,kraken,bitget,kucoin,bydfi,bybit-spot
bitmex-spot,1.15,1.15,1.1,1.05,1.03,1.0,1.0,1.0,0.99,0.96,0.95,0.92
coinlist,0.98,0.97,0.93,0.87,0.86,0.82,0.82,0.82,0.82,0.79,0.77,0.74
binance-us,0.76,0.76,0.71,0.66,0.64,0.61,0.61,0.61,0.6,0.57,0.56,0.53
coinex,0.69,0.69,0.64,0.59,0.57,0.54,0.54,0.54,0.53,0.5,0.49,0.46
bitmart,0.6,0.59,0.55,0.49,0.48,0.44,0.44,0.44,0.44,0.41,0.39,0.36
binance,0.51,0.5,0.46,0.4,0.39,0.35,0.35,0.35,0.35,0.32,0.3,0.27
exmo,0.38,0.37,0.33,0.27,0.26,0.22,0.22,0.22,0.22,0.19,0.17,0.15
lbank,0.36,0.35,0.31,0.25,0.24,0.2,0.2,0.2,0.2,0.16,0.15,0.12
gateio,0.31,0.3,0.26,0.2,0.19,0.15,0.15,0.15,0.14,0.11,0.1,0.07
huobipro,0.29,0.28,0.24,0.18,0.17,0.13,0.13,0.13,0.12,0.09,0.08,0.05
coinbasepro,0.27,0.27,0.22,0.17,0.15,0.11,0.11,0.11,0.11,0.08,0.06,0.04
bybit-spot,0.24,0.23,0.18,0.13,0.11,0.08,0.08,0.08,0.07,0.04,0.03,0.0
