,okx,kucoin,bitso,crypto-com,bydfi,mxc,gateio,bybit-spot,coinbasepro,bitmax,phemex-spot,bitmart
bitget,1.0,1.0,0.98,0.96,0.95,0.93,0.93,0.91,0.89,0.88,0.87,0.82
binance,0.71,0.71,0.69,0.66,0.66,0.64,0.64,0.62,0.6,0.59,0.58,0.53
bingx,0.64,0.64,0.62,0.6,0.59,0.57,0.57,0.56,0.54,0.53,0.52,0.47
binance-us,0.4,0.39,0.37,0.35,0.34,0.33,0.33,0.31,0.29,0.28,0.27,0.22
coinlist,0.38,0.37,0.35,0.33,0.33,0.31,0.31,0.29,0.27,0.26,0.25,0.2
bitmex-spot,0.34,0.34,0.32,0.3,0.29,0.27,0.27,0.26,0.24,0.23,0.22,0.17
exmo,0.29,0.29,0.27,0.25,0.24,0.22,0.22,0.2,0.19,0.18,0.17,0.11
huobipro,0.27,0.27,0.25,0.22,0.22,0.2,0.2,0.18,0.16,0.15,0.14,0.09
coinex,0.25,0.25,0.23,0.2,0.2,0.18,0.18,0.16,0.14,0.13,0.12,0.07
kraken,0.24,0.24,0.22,0.2,0.19,0.17,0.17,0.15,0.13,0.13,0.11,0.06
lbank,0.2,0.2,0.18,0.15,0.15,0.13,0.13,0.11,0.09,0.08,0.07,0.02
bitmart,0.18,0.18,0.16,0.13,0.13,0.11,0.11,0.09,0.07,0.06,0.05,0.0
