,binance,bydfi,gateio,kucoin,bingx,crypto-com,mxc,phemex-spot,kraken,bitmex-spot,coinbasepro,bitmart
coinlist,0.69,0.68,0.66,0.65,0.65,0.6,0.6,0.59,0.58,0.58,0.56,0.46
lbank,0.51,0.51,0.48,0.48,0.48,0.43,0.42,0.41,0.41,0.41,0.39,0.28
exmo,0.36,0.35,0.33,0.32,0.32,0.27,0.26,0.26,0.25,0.25,0.23,0.13
bybit-spot,0.34,0.34,0.31,0.31,0.31,0.26,0.25,0.24,0.24,0.24,0.22,0.11
bitmax,0.33,0.32,0.3,0.29,0.29,0.24,0.24,0.23,0.22,0.22,0.21,0.1
binance-us,0.31,0.31,0.28,0.28,0.28,0.23,0.22,0.21,0.21,0.21,0.19,0.08
bitget,0.3,0.29,0.27,0.26,0.26,0.21,0.2,0.2,0.19,0.19,0.17,0.07
huobipro,0.29,0.29,0.26,0.26,0.26,0.21,0.2,0.19,0.19,0.19,0.17,0.06
coinex,0.27,0.27,0.24,0.24,0.24,0.19,0.18,0.18,0.17,0.17,0.15,0.04
bitso,0.26,0.25,0.23,0.22,0.22,0.17,0.16,0.16,0.15,0.15,0.13,0.03
okx,0.24,0.23,0.21,0.2,0.2,0.15,0.14,0.14,0.13,0.13,0.11,0.01
bitmart,0.23,0.22,0.2,0.19,0.19,0.14,0.14,0.13,0.12,0.12,0.11,0.0
