,bitmax,cryptology,okx,coinsbit,bybit-spot,coinex,kucoin,gateio,bitmart,bitrue,mxc,huobipro
bigone,3.94,3.66,3.64,3.62,3.54,3.52,3.31,3.31,3.3,3.27,3.26,3.26
bingx,0.99,0.71,0.69,0.66,0.58,0.56,0.35,0.35,0.33,0.3,0.29,0.29
bitget,0.78,0.5,0.48,0.45,0.37,0.35,0.13,0.13,0.12,0.09,0.08,0.08
exmo,0.78,0.5,0.48,0.45,0.37,0.35,0.13,0.13,0.12,0.09,0.08,0.08
coinw,0.74,0.46,0.44,0.41,0.33,0.31,0.09,0.09,0.08,0.05,0.04,0.04
lbank,0.71,0.43,0.41,0.38,0.3,0.28,0.07,0.07,0.05,0.02,0.01,0.01
huobipro,0.7,0.42,0.4,0.37,0.29,0.27,0.06,0.05,0.04,0.01,0.001,0.7
mxc,0.42,0.4,0.37,0.29,0.27,0.05,0.05,0.04,0.01,-0.001,0.69,0.41
bitrue,0.39,0.36,0.28,0.26,0.05,0.04,0.03,-0.01,-0.01,0.66,0.38,0.36
bitmart,0.33,0.25,0.23,0.01,0.01,-0.03,-0.04,-0.04,0.65,0.37,0.34,0.32
gateio,0.23,0.22,0.001,-0.01,-0.04,-0.05,-0.05,0.64,0.36,0.34,0.32,0.23
kucoin,0.21,-0.001,-0.01,-0.05,-0.05,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
