,bitmax,bybit-spot,cryptology,coinsbit,okx,gateio,kucoin,mxc,bitmart,bitrue,bitget,huobipro
bigone,3.79,3.69,3.65,3.6,3.59,3.58,3.56,3.55,3.55,3.54,3.51,3.51
coinex,0.61,0.5,0.46,0.41,0.4,0.38,0.37,0.36,0.36,0.34,0.32,0.31
exmo,0.49,0.38,0.34,0.29,0.28,0.26,0.25,0.24,0.24,0.22,0.2,0.19
bingx,0.46,0.36,0.31,0.26,0.25,0.24,0.22,0.21,0.21,0.19,0.17,0.17
coinw,0.33,0.22,0.18,0.13,0.12,0.11,0.09,0.08,0.08,0.06,0.04,0.03
lbank,0.3,0.2,0.15,0.11,0.09,0.08,0.06,0.05,0.05,0.04,0.01,0.01
huobipro,0.3,0.19,0.15,0.1,0.08,0.07,0.05,0.04,0.04,0.03,0.01,0.29
bitget,0.18,0.14,0.09,0.08,0.07,0.05,0.04,0.04,0.02,-0.01,0.27,0.16
bitrue,0.12,0.07,0.06,0.04,0.03,0.02,0.02,-0.02,-0.03,0.25,0.14,0.1
bitmart,0.05,0.04,0.03,0.01,0.0,-0.02,-0.04,-0.05,0.25,0.14,0.1,0.05
mxc,0.04,0.03,0.01,0.0,-0.02,-0.04,-0.05,0.24,0.13,0.09,0.04,0.03
kucoin,0.02,-0.01,-0.01,-0.03,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
