,gateio,bitrue,kucoin,bigone,coinw,mxc,huobipro,bitmart,bitmax,bingx,cryptology,bybit-spot
bitget,0.66,0.64,0.63,0.6,0.43,0.42,0.39,0.38,0.38,0.36,0.34,0.28
okx,0.56,0.54,0.53,0.5,0.33,0.32,0.29,0.28,0.28,0.26,0.24,0.18
lbank,0.54,0.52,0.51,0.47,0.3,0.29,0.26,0.25,0.25,0.24,0.22,0.15
coinex,0.45,0.43,0.42,0.38,0.22,0.2,0.18,0.16,0.16,0.15,0.13,0.07
coinsbit,0.43,0.41,0.4,0.36,0.19,0.18,0.15,0.14,0.14,0.13,0.11,0.04
exmo,0.41,0.39,0.38,0.34,0.17,0.16,0.13,0.12,0.12,0.11,0.08,0.02
bybit-spot,0.39,0.37,0.36,0.32,0.15,0.14,0.11,0.1,0.1,0.08,0.06,0.32
cryptology,0.3,0.29,0.25,0.09,0.07,0.05,0.03,0.03,0.02,-0.06,0.3,0.28
bingx,0.27,0.23,0.07,0.05,0.03,0.01,0.01,-0.02,-0.08,0.29,0.27,0.26
bitmax,0.22,0.05,0.04,0.01,0.0,-0.01,-0.03,-0.1,0.29,0.27,0.26,0.22
bitmart,0.05,0.04,0.01,0.0,-0.01,-0.03,-0.1,0.28,0.26,0.25,0.21,0.04
huobipro,0.03,-0.01,-0.01,-0.03,-0.05,-0.11,0.0,0.0,0.0,0.0,0.0,0.0
