,bitmax,cryptology,bitmart,bigone,mxc,coinex,gateio,exmo,coinsbit,huobipro,bitrue,okx
coinw,2.08,0.29,0.26,0.26,0.25,0.24,0.23,0.2,0.19,0.17,0.16,0.16
bitget,2.03,0.23,0.2,0.2,0.19,0.19,0.18,0.15,0.14,0.12,0.11,0.1
bybit-spot,2.0,0.2,0.18,0.17,0.16,0.16,0.15,0.12,0.11,0.09,0.08,0.07
bingx,2.0,0.2,0.17,0.17,0.16,0.15,0.14,0.11,0.1,0.08,0.07,0.06
kucoin,1.96,0.16,0.13,0.13,0.12,0.12,0.1,0.07,0.06,0.04,0.03,0.03
lbank,1.94,0.14,0.12,0.11,0.1,0.1,0.09,0.06,0.05,0.03,0.02,0.01
okx,1.93,0.13,0.1,0.1,0.09,0.09,0.08,0.05,0.04,0.02,0.01,1.93
bitrue,0.12,0.1,0.09,0.08,0.08,0.07,0.04,0.03,0.01,-0.01,1.91,0.11
huobipro,0.09,0.08,0.07,0.07,0.06,0.03,0.02,-0.01,-0.02,1.89,0.09,0.06
coinsbit,0.06,0.05,0.05,0.04,0.01,-0.02,-0.03,-0.04,1.89,0.08,0.06,0.05
exmo,0.04,0.04,0.03,-0.01,-0.03,-0.04,-0.05,1.86,0.05,0.03,0.02,0.01
gateio,0.01,-0.03,-0.04,-0.06,-0.07,-0.08,0.0,0.0,0.0,0.0,0.0,0.0
