,bitmax,cryptology,gateio,bitget,huobipro,kucoin,bitrue,exmo,okx,bingx,mxc,crypto-com
coinw,0.73,0.41,0.31,0.3,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.24
coinex,0.56,0.24,0.13,0.12,0.12,0.1,0.1,0.09,0.09,0.09,0.08,0.07
bigone,0.56,0.24,0.13,0.12,0.12,0.1,0.1,0.09,0.09,0.09,0.08,0.07
coinsbit,0.55,0.23,0.12,0.11,0.11,0.09,0.09,0.08,0.08,0.08,0.07,0.06
bitmart,0.52,0.21,0.1,0.09,0.08,0.06,0.06,0.06,0.06,0.06,0.04,0.03
lbank,0.52,0.21,0.1,0.09,0.08,0.06,0.06,0.06,0.06,0.06,0.04,0.03
bybit-spot,0.5,0.18,0.07,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.01
crypto-com,0.49,0.17,0.06,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.48
mxc,0.16,0.06,0.05,0.04,0.02,0.02,0.01,0.01,0.01,-0.01,0.47,0.15
bingx,0.04,0.03,0.03,0.01,0.01,0.001,0.0,-0.01,-0.02,0.47,0.15,0.04
okx,0.03,0.03,0.01,0.01,0.001,0.0,-0.01,-0.02,0.47,0.15,0.04,0.03
exmo,0.03,0.01,0.005,-0.001,-0.001,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0
