,bitmax,cryptology,kucoin,exmo,bybit-spot,bingx,bitmart,bitget,crypto-com,mxc,bitrue,huobipro
coinw,0.52,0.3,0.26,0.25,0.22,0.22,0.19,0.19,0.18,0.18,0.17,0.17
lbank,0.37,0.15,0.11,0.1,0.07,0.07,0.04,0.04,0.03,0.03,0.02,0.02
coinsbit,0.37,0.15,0.11,0.1,0.07,0.07,0.04,0.04,0.03,0.03,0.02,0.02
gateio,0.37,0.15,0.11,0.1,0.07,0.07,0.04,0.04,0.03,0.03,0.02,0.02
bigone,0.36,0.15,0.11,0.09,0.06,0.06,0.04,0.03,0.03,0.02,0.01,0.01
coinex,0.36,0.15,0.11,0.09,0.06,0.06,0.03,0.03,0.03,0.02,0.01,0.01
okx,0.35,0.14,0.1,0.08,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.004
huobipro,0.35,0.14,0.1,0.08,0.05,0.05,0.02,0.02,0.02,0.01,0.001,0.35
bitrue,0.13,0.1,0.08,0.05,0.05,0.02,0.02,0.02,0.01,-0.001,0.34,0.13
mxc,0.09,0.07,0.04,0.04,0.01,0.01,0.01,-0.01,-0.01,0.33,0.12,0.08
crypto-com,0.06,0.03,0.03,0.01,0.01,-0.01,-0.02,-0.02,0.33,0.11,0.07,0.06
bitget,0.03,0.03,0.001,-0.01,-0.01,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
