,bitmax,bitmart,bigone,okx,exmo,coinex,coinw,huobipro,cryptology,bitget,kucoin,bingx
bybit-spot,0.65,0.28,0.25,0.21,0.21,0.18,0.14,0.12,0.11,0.1,0.08,0.07
coinsbit,0.64,0.26,0.24,0.2,0.2,0.16,0.13,0.1,0.1,0.09,0.06,0.05
gateio,0.64,0.26,0.24,0.2,0.2,0.16,0.13,0.1,0.1,0.09,0.06,0.05
mxc,0.64,0.26,0.24,0.2,0.2,0.16,0.13,0.1,0.1,0.09,0.06,0.05
lbank,0.6,0.22,0.2,0.16,0.16,0.12,0.09,0.06,0.06,0.05,0.02,0.01
crypto-com,0.59,0.22,0.19,0.15,0.15,0.12,0.09,0.06,0.05,0.04,0.02,0.01
bitrue,0.59,0.22,0.19,0.15,0.15,0.12,0.09,0.06,0.05,0.04,0.02,0.01
bingx,0.59,0.21,0.18,0.14,0.14,0.11,0.08,0.05,0.05,0.04,0.01,0.58
kucoin,0.2,0.17,0.13,0.13,0.1,0.07,0.04,0.04,0.03,-0.01,0.55,0.17
bitget,0.15,0.11,0.11,0.07,0.04,0.01,0.01,-0.03,-0.04,0.54,0.16,0.14
cryptology,0.1,0.1,0.06,0.03,0.003,-0.01,-0.04,-0.05,0.54,0.16,0.13,0.09
huobipro,0.09,0.06,0.03,-0.003,-0.01,-0.04,-0.05,0.0,0.0,0.0,0.0,0.0
