,bitmax,okx,gateio,exmo,bigone,coinex,coinw,crypto-com,bitrue,bitget,bingx,kucoin
mxc,0.45,0.21,0.2,0.19,0.18,0.16,0.16,0.11,0.09,0.08,0.08,0.08
cryptology,0.43,0.2,0.18,0.18,0.16,0.15,0.14,0.1,0.07,0.07,0.06,0.06
bybit-spot,0.41,0.17,0.16,0.16,0.14,0.12,0.12,0.07,0.05,0.04,0.04,0.04
bitmart,0.41,0.17,0.16,0.16,0.14,0.12,0.12,0.07,0.05,0.04,0.04,0.04
lbank,0.41,0.17,0.16,0.16,0.14,0.12,0.12,0.07,0.05,0.04,0.04,0.04
coinsbit,0.38,0.14,0.13,0.13,0.11,0.1,0.09,0.05,0.02,0.01,0.01,0.01
huobipro,0.37,0.14,0.12,0.12,0.11,0.09,0.08,0.04,0.01,0.01,0.01,0.004
kucoin,0.37,0.13,0.12,0.12,0.1,0.09,0.08,0.03,0.01,0.002,0.001,0.37
bingx,0.13,0.12,0.12,0.1,0.08,0.08,0.03,0.01,0.001,-0.001,0.37,0.13
bitget,0.12,0.11,0.1,0.08,0.08,0.03,0.01,-0.001,-0.002,0.36,0.12,0.11
bitrue,0.11,0.09,0.07,0.07,0.02,-0.01,-0.01,-0.01,0.33,0.1,0.09,0.08
crypto-com,0.07,0.05,0.05,-0.02,-0.03,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
