,bitmax,cryptology,coinex,coinsbit,bigone,bitrue,bybit-spot,lbank,bingx,bitmart,bitget,crypto-com
coinw,0.26,0.21,0.16,0.16,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11
huobipro,0.26,0.21,0.15,0.15,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11
exmo,0.2,0.16,0.1,0.1,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
gateio,0.17,0.12,0.07,0.07,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
okx,0.17,0.12,0.07,0.07,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
kucoin,0.16,0.12,0.06,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01
mxc,0.16,0.11,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01
crypto-com,0.15,0.1,0.05,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.14
bitget,0.1,0.04,0.04,0.02,0.01,0.01,0.0,0.0,0.0,-0.01,0.14,0.1
bitmart,0.04,0.04,0.02,0.01,0.01,0.0,0.0,0.0,-0.01,0.14,0.1,0.04
bingx,0.04,0.02,0.01,0.01,0.0,0.0,0.0,-0.01,0.14,0.1,0.04,0.04
lbank,0.02,0.01,0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0
