,bitmax,kucoin,crypto-com,coinsbit,bigone,bybit-spot,gateio,lbank,bingx,bitmart,coinex,bitget
huobipro,0.37,0.31,0.23,0.22,0.21,0.2,0.18,0.16,0.16,0.16,0.15,0.14
okx,0.29,0.22,0.15,0.13,0.13,0.12,0.09,0.08,0.08,0.08,0.07,0.06
bitrue,0.28,0.22,0.15,0.13,0.12,0.12,0.09,0.07,0.07,0.07,0.06,0.06
mxc,0.26,0.2,0.12,0.11,0.1,0.09,0.07,0.05,0.05,0.05,0.04,0.03
exmo,0.26,0.19,0.12,0.1,0.09,0.09,0.06,0.05,0.05,0.05,0.03,0.03
coinw,0.25,0.18,0.11,0.09,0.09,0.08,0.05,0.04,0.04,0.04,0.03,0.02
cryptology,0.24,0.18,0.1,0.08,0.08,0.07,0.04,0.03,0.03,0.03,0.02,0.01
bitget,0.23,0.16,0.09,0.07,0.07,0.06,0.03,0.02,0.02,0.02,0.01,0.22
coinex,0.16,0.09,0.07,0.06,0.06,0.03,0.01,0.01,0.01,-0.01,0.21,0.15
bitmart,0.07,0.05,0.05,0.04,0.01,0.0,0.0,-0.01,-0.02,0.21,0.15,0.07
bingx,0.05,0.05,0.04,0.01,0.0,0.0,-0.01,-0.02,0.21,0.15,0.07,0.05
lbank,0.05,0.04,0.01,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0
