,bitmax,exmo,coinsbit,bingx,bitmart,coinex,bigone,huobipro,bitget,bitrue,kucoin,okx
cryptology,0.45,0.31,0.25,0.22,0.21,0.17,0.16,0.15,0.14,0.14,0.13,0.13
coinw,0.39,0.25,0.19,0.16,0.15,0.11,0.1,0.09,0.08,0.08,0.07,0.07
mxc,0.36,0.22,0.16,0.14,0.12,0.08,0.08,0.06,0.05,0.05,0.04,0.04
crypto-com,0.36,0.21,0.16,0.13,0.11,0.07,0.07,0.06,0.04,0.04,0.04,0.03
bybit-spot,0.35,0.21,0.15,0.12,0.11,0.07,0.06,0.05,0.04,0.04,0.03,0.03
lbank,0.32,0.18,0.12,0.09,0.08,0.04,0.04,0.02,0.01,0.01,0.003,0.0
gateio,0.32,0.18,0.12,0.09,0.08,0.04,0.04,0.02,0.01,0.01,0.003,0.0
okx,0.32,0.18,0.12,0.09,0.08,0.04,0.04,0.02,0.01,0.01,0.003,0.32
kucoin,0.18,0.12,0.09,0.08,0.04,0.03,0.02,0.01,0.01,-0.003,0.31,0.17
bitrue,0.11,0.09,0.07,0.03,0.03,0.01,0.001,-0.01,-0.01,0.31,0.17,0.11
bitget,0.08,0.07,0.03,0.02,0.01,-0.001,-0.01,-0.01,0.3,0.15,0.1,0.07
huobipro,0.06,0.01,0.01,-0.01,-0.01,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
