,bitmax,cryptology,bigone,bingx,bybit-spot,coinsbit,huobipro,gateio,coinex,kucoin,mxc,lbank
exmo,0.38,0.19,0.18,0.18,0.14,0.11,0.08,0.07,0.06,0.05,0.04,0.04
coinw,0.38,0.19,0.18,0.18,0.13,0.11,0.08,0.07,0.06,0.05,0.04,0.04
bitmart,0.36,0.18,0.17,0.16,0.12,0.09,0.06,0.05,0.04,0.03,0.03,0.03
bitget,0.36,0.17,0.16,0.15,0.11,0.09,0.06,0.05,0.03,0.03,0.02,0.02
okx,0.35,0.16,0.15,0.15,0.11,0.08,0.05,0.04,0.03,0.02,0.01,0.01
bitrue,0.35,0.16,0.15,0.14,0.1,0.08,0.05,0.04,0.02,0.02,0.01,0.01
crypto-com,0.34,0.16,0.15,0.14,0.1,0.07,0.04,0.03,0.02,0.01,0.01,0.01
lbank,0.34,0.15,0.14,0.14,0.09,0.07,0.04,0.03,0.01,0.01,0.0,0.34
mxc,0.15,0.14,0.14,0.09,0.07,0.04,0.03,0.01,0.01,0.0,0.33,0.14
kucoin,0.13,0.13,0.09,0.06,0.03,0.02,0.01,-0.01,-0.01,0.32,0.14,0.12
coinex,0.12,0.08,0.05,0.02,0.01,-0.01,-0.01,-0.01,0.31,0.12,0.11,0.11
gateio,0.07,0.04,0.01,-0.01,-0.02,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
