,bigone,bingx,cryptology,mxc,gateio,bitmart,exmo,huobipro,coinw,bitmax,bitget,crypto-com
lbank,0.78,0.64,0.62,0.59,0.56,0.53,0.52,0.44,0.38,0.34,0.21,0.15
kucoin,0.78,0.64,0.62,0.58,0.56,0.53,0.52,0.44,0.38,0.34,0.21,0.15
okx,0.75,0.61,0.59,0.56,0.53,0.5,0.49,0.41,0.36,0.31,0.19,0.13
coinsbit,0.72,0.59,0.57,0.53,0.5,0.48,0.46,0.38,0.33,0.29,0.16,0.1
bitrue,0.69,0.55,0.53,0.5,0.47,0.45,0.43,0.35,0.3,0.26,0.13,0.07
coinex,0.63,0.49,0.47,0.44,0.41,0.39,0.37,0.29,0.24,0.2,0.07,0.01
bybit-spot,0.63,0.49,0.47,0.44,0.41,0.39,0.37,0.29,0.24,0.2,0.07,0.01
crypto-com,0.62,0.49,0.47,0.43,0.4,0.38,0.36,0.29,0.23,0.19,0.06,0.56
bitget,0.43,0.41,0.37,0.35,0.32,0.3,0.23,0.17,0.13,-0.06,0.44,0.3
bitmax,0.28,0.25,0.22,0.19,0.18,0.1,0.04,-0.13,-0.19,0.4,0.26,0.24
coinw,0.2,0.18,0.15,0.14,0.06,-0.04,-0.17,-0.23,0.34,0.2,0.18,0.15
huobipro,0.12,0.09,0.08,-0.06,-0.1,-0.23,-0.29,0.0,0.0,0.0,0.0,0.0
