,bitmax,bigone,kucoin,crypto-com,gateio,exmo,bitrue,mxc,bingx,coinw,huobipro,bitget
coinex,0.52,0.48,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.29,0.25
cryptology,0.3,0.26,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.07,0.03
okx,0.28,0.25,0.11,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.06,0.01
bitmart,0.27,0.23,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.04,0.0
lbank,0.27,0.23,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.04,0.0
coinsbit,0.27,0.23,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.04,0.0
bybit-spot,0.27,0.23,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.04,0.0
bitget,0.27,0.23,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.04,0.23
huobipro,0.19,0.06,0.04,0.04,0.04,0.03,0.02,0.02,0.02,-0.04,0.2,0.17
coinw,0.03,0.02,0.01,0.01,0.01,0.0,0.0,-0.02,-0.07,0.2,0.17,0.03
bingx,0.02,0.01,0.01,0.01,0.0,0.0,-0.02,-0.07,0.2,0.17,0.03,0.02
mxc,0.01,0.01,0.01,0.0,0.0,-0.02,-0.07,0.0,0.0,0.0,0.0,0.0
