,upbit,cex,xeggex,nonkyc,cryptology,kucoin,probit,bitmex-spot,gateio,exmo,coinsbit,coinex
fatbtc,3.97,3.89,2.66,2.25,2.1,2.07,2.07,2.07,2.06,2.06,2.05,2.05
btcalpha,2.07,1.99,0.74,0.32,0.17,0.13,0.13,0.13,0.13,0.12,0.12,0.11
bitmax,2.06,1.99,0.73,0.31,0.16,0.13,0.13,0.13,0.12,0.12,0.11,0.11
phemex-spot,2.06,1.99,0.73,0.31,0.16,0.13,0.13,0.13,0.12,0.12,0.11,0.11
btse,2.02,1.94,0.69,0.27,0.11,0.08,0.08,0.08,0.07,0.07,0.07,0.06
bitrue,2.01,1.94,0.68,0.26,0.11,0.08,0.08,0.08,0.07,0.06,0.06,0.05
fastex,2.0,1.93,0.67,0.25,0.1,0.07,0.07,0.07,0.06,0.06,0.05,0.05
okx,2.0,1.93,0.67,0.25,0.1,0.07,0.07,0.07,0.06,0.06,0.05,0.05
bitget,1.99,1.92,0.66,0.24,0.09,0.06,0.06,0.06,0.05,0.04,0.04,0.03
bydfi,1.99,1.91,0.66,0.23,0.08,0.05,0.05,0.05,0.04,0.04,0.03,0.03
bingx,1.99,1.91,0.66,0.23,0.08,0.05,0.05,0.05,0.04,0.04,0.03,0.03
latoken,1.99,1.91,0.66,0.23,0.08,0.05,0.05,0.05,0.04,0.04,0.03,0.03
