,cex,xeggex,phemex-spot,btcalpha,exmo,okx,mxc,bybit-spot,kucoin,fastex,poloniex,latoken
fatbtc,5.21,3.8,3.75,3.74,3.71,3.68,3.67,3.66,3.66,3.66,3.65,3.65
upbit,2.38,0.93,0.87,0.86,0.83,0.8,0.79,0.78,0.78,0.78,0.77,0.77
btcturk-pro,1.88,0.42,0.36,0.35,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26
bitmex-spot,1.86,0.4,0.34,0.33,0.3,0.27,0.27,0.26,0.26,0.26,0.24,0.24
nonkyc,1.85,0.39,0.33,0.32,0.29,0.26,0.25,0.24,0.24,0.24,0.23,0.23
probit,1.84,0.38,0.32,0.31,0.28,0.25,0.24,0.23,0.23,0.23,0.21,0.21
cryptology,1.69,0.23,0.17,0.16,0.13,0.1,0.09,0.08,0.08,0.08,0.07,0.07
btse,1.68,0.22,0.16,0.15,0.12,0.09,0.08,0.07,0.07,0.07,0.06,0.06
bingx,1.64,0.18,0.12,0.11,0.08,0.05,0.04,0.03,0.03,0.03,0.02,0.02
gateio,1.64,0.18,0.12,0.11,0.08,0.05,0.04,0.03,0.03,0.03,0.02,0.02
coinsbit,1.64,0.18,0.12,0.11,0.08,0.05,0.04,0.03,0.03,0.03,0.02,0.02
coinex,1.64,0.18,0.12,0.11,0.08,0.05,0.04,0.03,0.03,0.03,0.01,0.01
