,upbit,xeggex,nonkyc,cex,bitrue,btcalpha,probit,fastex,mxc,cryptology,coinex,huobipro
fatbtc,3.53,2.95,2.44,2.42,2.38,2.37,2.36,2.34,2.33,2.33,2.32,2.29
phemex-spot,1.41,0.82,0.3,0.28,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.15
exmo,1.37,0.78,0.25,0.24,0.2,0.18,0.17,0.15,0.15,0.14,0.13,0.1
btse,1.35,0.76,0.23,0.22,0.18,0.16,0.15,0.13,0.12,0.12,0.11,0.08
kucoin,1.32,0.74,0.21,0.2,0.16,0.14,0.13,0.11,0.1,0.09,0.09,0.06
tidex,1.32,0.74,0.21,0.2,0.16,0.14,0.13,0.11,0.1,0.09,0.09,0.06
bybit-spot,1.32,0.74,0.21,0.2,0.16,0.14,0.13,0.11,0.1,0.09,0.09,0.06
btcturk-pro,1.32,0.73,0.2,0.19,0.15,0.13,0.12,0.1,0.09,0.09,0.08,0.05
bydfi,1.32,0.73,0.2,0.19,0.15,0.13,0.12,0.1,0.09,0.09,0.08,0.05
bingx,1.31,0.72,0.19,0.18,0.14,0.12,0.11,0.09,0.09,0.08,0.07,0.04
bitget,1.3,0.71,0.18,0.17,0.13,0.12,0.1,0.09,0.08,0.07,0.06,0.04
coinsbit,1.3,0.71,0.18,0.17,0.13,0.12,0.1,0.09,0.08,0.07,0.06,0.04
