,bitmex-spot,xeggex,upbit,fatbtc,kucoin,bingx,cryptology,binance,latoken,mxc,okx,coinw
cex,14.8,13.7,13.5,13.5,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
nonkyc,2.27,1.05,0.84,0.78,0.58,0.56,0.56,0.55,0.55,0.55,0.55,0.55
phemex-spot,1.99,0.77,0.56,0.5,0.3,0.28,0.28,0.27,0.27,0.27,0.27,0.27
btcturk-pro,1.86,0.63,0.42,0.36,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13
btcalpha,1.85,0.63,0.42,0.36,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13
bybit-spot,1.85,0.63,0.42,0.36,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13
bydfi,1.83,0.6,0.39,0.33,0.13,0.11,0.11,0.1,0.1,0.1,0.1,0.1
bitget,1.8,0.58,0.37,0.31,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08
bitmax,1.8,0.57,0.36,0.3,0.1,0.08,0.08,0.07,0.07,0.07,0.07,0.07
probit,1.79,0.57,0.36,0.3,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07
btse,1.78,0.56,0.35,0.29,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06
coinex,1.78,0.56,0.35,0.29,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06
