,xeggex,nonkyc,btcalpha,phemex-spot,exmo,okx,coinw,kucoin,huobipro,mxc,binance,poloniex
cex,15.0,14.8,14.7,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6
upbit,2.74,2.52,2.43,2.42,2.39,2.36,2.35,2.35,2.34,2.33,2.33,2.32
fatbtc,2.03,1.81,1.72,1.7,1.68,1.65,1.63,1.63,1.62,1.62,1.61,1.6
btcturk-pro,0.61,0.39,0.3,0.28,0.26,0.23,0.21,0.21,0.2,0.2,0.19,0.18
bitmex-spot,0.58,0.36,0.27,0.25,0.23,0.2,0.18,0.18,0.17,0.17,0.16,0.15
bitmax,0.57,0.35,0.26,0.25,0.22,0.19,0.17,0.17,0.16,0.16,0.15,0.15
probit,0.53,0.31,0.22,0.2,0.18,0.15,0.13,0.13,0.12,0.12,0.11,0.1
coinex,0.49,0.27,0.18,0.16,0.14,0.11,0.09,0.09,0.08,0.08,0.07,0.06
btse,0.47,0.24,0.15,0.14,0.11,0.08,0.07,0.07,0.05,0.05,0.04,0.04
cryptology,0.44,0.22,0.13,0.12,0.09,0.06,0.04,0.04,0.03,0.03,0.02,0.02
bingx,0.44,0.22,0.13,0.12,0.09,0.06,0.04,0.04,0.03,0.03,0.02,0.01
gateio,0.44,0.21,0.12,0.11,0.08,0.05,0.04,0.04,0.02,0.02,0.01,0.01
