,xeggex,upbit,btcalpha,kucoin,fastex,exmo,bitmax,coinw,huobipro,okx,bydfi,coinex
fatbtc,3.68,3.58,3.12,3.09,3.09,3.08,3.08,3.07,3.07,3.06,3.06,3.06
nonkyc,0.91,0.81,0.34,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27
btcturk-pro,0.81,0.7,0.24,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17
phemex-spot,0.8,0.69,0.22,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15
probit,0.78,0.67,0.21,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14
latoken,0.77,0.66,0.19,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.12,0.12
gateio,0.73,0.62,0.16,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09
mxc,0.73,0.62,0.16,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09
bybit-spot,0.72,0.62,0.15,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08
coinsbit,0.72,0.62,0.15,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08
poloniex,0.72,0.61,0.14,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.07
cryptology,0.72,0.61,0.14,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07
