,upbit,xeggex,btcturk-pro,latoken,nonkyc,coinsbit,kucoin,phemex-spot,cryptology,bitrue,bybit-spot,poloniex
fatbtc,3.57,3.56,3.05,2.85,2.85,2.8,2.8,2.8,2.79,2.78,2.78,2.77
coinex,1.03,1.02,0.49,0.29,0.28,0.23,0.23,0.23,0.22,0.22,0.22,0.2
bitmax,0.99,0.98,0.45,0.25,0.24,0.19,0.19,0.19,0.18,0.18,0.18,0.16
btse,0.95,0.94,0.42,0.21,0.21,0.16,0.15,0.15,0.15,0.14,0.14,0.13
fastex,0.94,0.93,0.41,0.2,0.2,0.15,0.15,0.15,0.14,0.13,0.13,0.12
bydfi,0.94,0.93,0.41,0.2,0.2,0.15,0.15,0.15,0.14,0.13,0.13,0.12
probit,0.93,0.92,0.39,0.19,0.18,0.13,0.13,0.13,0.12,0.12,0.12,0.1
mxc,0.93,0.92,0.39,0.19,0.18,0.13,0.13,0.13,0.12,0.12,0.12,0.1
tidex,0.91,0.9,0.37,0.17,0.16,0.11,0.11,0.11,0.1,0.1,0.1,0.08
bitget,0.9,0.89,0.37,0.16,0.16,0.11,0.1,0.1,0.09,0.09,0.09,0.08
coinw,0.9,0.89,0.36,0.16,0.15,0.1,0.1,0.1,0.09,0.09,0.09,0.07
huobipro,0.9,0.89,0.36,0.16,0.15,0.1,0.1,0.1,0.09,0.09,0.09,0.07
