,xeggex,upbit,nonkyc,cryptology,tidex,gateio,coinsbit,probit,btse,latoken,coinex,bydfi
fatbtc,3.87,3.6,3.3,3.12,3.1,3.1,3.09,3.07,3.06,3.05,3.05,3.03
btcturk-pro,1.23,0.95,0.64,0.46,0.44,0.44,0.43,0.41,0.4,0.39,0.39,0.37
coinw,0.94,0.66,0.35,0.17,0.15,0.15,0.14,0.12,0.11,0.1,0.1,0.08
phemex-spot,0.93,0.65,0.34,0.16,0.14,0.14,0.13,0.11,0.1,0.09,0.09,0.07
kucoin,0.93,0.65,0.34,0.16,0.14,0.14,0.13,0.11,0.1,0.09,0.09,0.07
bingx,0.92,0.64,0.33,0.15,0.13,0.12,0.12,0.09,0.09,0.08,0.08,0.06
btcalpha,0.91,0.63,0.32,0.14,0.12,0.11,0.11,0.09,0.08,0.07,0.07,0.05
bitget,0.89,0.61,0.3,0.12,0.1,0.1,0.09,0.07,0.06,0.05,0.05,0.03
huobipro,0.89,0.61,0.3,0.12,0.1,0.1,0.09,0.07,0.06,0.05,0.05,0.03
mxc,0.89,0.61,0.3,0.12,0.1,0.09,0.09,0.07,0.06,0.05,0.05,0.03
okx,0.88,0.6,0.29,0.11,0.09,0.09,0.08,0.06,0.05,0.04,0.04,0.02
poloniex,0.88,0.6,0.29,0.11,0.09,0.09,0.08,0.06,0.05,0.04,0.04,0.02
