,xeggex,nonkyc,latoken,btcalpha,btcturk-pro,btse,poloniex,bybit-spot,coinw,kucoin,phemex-spot,fastex
fatbtc,4.26,3.56,3.48,3.47,3.45,3.43,3.4,3.4,3.4,3.4,3.4,3.4
upbit,1.81,1.09,1.01,0.99,0.97,0.95,0.93,0.93,0.93,0.93,0.93,0.93
coinex,0.97,0.25,0.16,0.15,0.13,0.11,0.08,0.08,0.08,0.08,0.08,0.08
cryptology,0.97,0.24,0.16,0.15,0.12,0.1,0.08,0.08,0.08,0.08,0.08,0.08
bitmax,0.96,0.24,0.15,0.14,0.12,0.1,0.07,0.07,0.07,0.07,0.07,0.07
tidex,0.95,0.22,0.14,0.12,0.1,0.08,0.06,0.06,0.06,0.06,0.06,0.06
probit,0.94,0.21,0.13,0.12,0.09,0.07,0.05,0.05,0.05,0.05,0.05,0.05
bydfi,0.92,0.19,0.11,0.09,0.07,0.05,0.03,0.03,0.03,0.03,0.03,0.03
bitrue,0.92,0.19,0.11,0.09,0.07,0.05,0.03,0.03,0.03,0.03,0.03,0.03
huobipro,0.92,0.19,0.11,0.09,0.07,0.05,0.03,0.03,0.03,0.03,0.03,0.03
gateio,0.91,0.18,0.1,0.09,0.07,0.04,0.02,0.02,0.02,0.02,0.02,0.02
mxc,0.9,0.18,0.09,0.08,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0.01
