,xeggex,upbit,btcturk-pro,fastex,exmo,bydfi,poloniex,cryptology,probit,fatbtc,btcalpha,binance
nonkyc,1.14,1.08,0.37,0.28,0.27,0.27,0.25,0.25,0.24,0.24,0.24,0.24
phemex-spot,0.97,0.91,0.2,0.11,0.1,0.1,0.08,0.08,0.07,0.07,0.07,0.07
bybit-spot,0.97,0.91,0.2,0.11,0.1,0.1,0.08,0.08,0.07,0.07,0.07,0.07
bitmax,0.95,0.89,0.18,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04
gateio,0.95,0.89,0.18,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04
okx,0.95,0.89,0.18,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04
bitget,0.95,0.89,0.18,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04
bitrue,0.95,0.88,0.18,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.04,0.04
coinsbit,0.94,0.88,0.17,0.08,0.07,0.07,0.05,0.05,0.04,0.04,0.04,0.04
coinex,0.94,0.88,0.17,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.03
kucoin,0.93,0.87,0.16,0.07,0.07,0.06,0.04,0.04,0.04,0.03,0.03,0.03
huobipro,0.93,0.87,0.16,0.07,0.07,0.06,0.04,0.04,0.04,0.03,0.03,0.03
