,xeggex,upbit,nonkyc,phemex-spot,btcalpha,bitmax,poloniex,okx,tidex,bydfi,binance,coinw
fatbtc,3.15,2.97,2.58,2.51,2.49,2.47,2.44,2.43,2.41,2.41,2.41,2.41
coinex,0.86,0.67,0.28,0.21,0.18,0.16,0.14,0.13,0.11,0.11,0.1,0.1
btse,0.85,0.67,0.27,0.2,0.17,0.16,0.13,0.12,0.1,0.1,0.09,0.09
btcturk-pro,0.84,0.65,0.26,0.19,0.16,0.14,0.11,0.1,0.08,0.08,0.07,0.07
bybit-spot,0.83,0.64,0.25,0.18,0.15,0.13,0.1,0.1,0.08,0.07,0.07,0.07
gateio,0.82,0.64,0.24,0.17,0.14,0.13,0.1,0.09,0.07,0.07,0.06,0.06
exmo,0.81,0.62,0.23,0.16,0.13,0.12,0.09,0.08,0.06,0.06,0.05,0.05
bingx,0.8,0.61,0.22,0.15,0.12,0.1,0.07,0.07,0.05,0.04,0.04,0.04
probit,0.79,0.61,0.21,0.14,0.11,0.1,0.07,0.06,0.04,0.04,0.03,0.03
cryptology,0.79,0.6,0.21,0.14,0.11,0.09,0.06,0.06,0.04,0.03,0.03,0.03
bitget,0.79,0.6,0.21,0.14,0.11,0.09,0.06,0.05,0.03,0.03,0.02,0.02
mxc,0.79,0.6,0.21,0.13,0.11,0.09,0.06,0.05,0.03,0.03,0.02,0.02
