,upbit,xeggex,coinex,nonkyc,exmo,huobipro,phemex-spot,bybit-spot,bitmax,cryptology,bingx,probit
fatbtc,1.37,1.2,0.63,0.62,0.58,0.56,0.54,0.52,0.48,0.46,0.46,0.45
btcturk-pro,1.19,1.02,0.45,0.44,0.39,0.38,0.36,0.34,0.3,0.28,0.28,0.27
latoken,1.03,0.86,0.3,0.28,0.24,0.22,0.2,0.18,0.14,0.12,0.12,0.11
btcalpha,1.0,0.83,0.26,0.25,0.2,0.19,0.17,0.15,0.11,0.09,0.09,0.08
btse,0.99,0.83,0.26,0.24,0.2,0.18,0.16,0.14,0.11,0.09,0.08,0.08
mxc,0.96,0.79,0.22,0.21,0.16,0.14,0.13,0.1,0.07,0.05,0.04,0.04
bydfi,0.96,0.79,0.22,0.21,0.16,0.14,0.13,0.1,0.07,0.05,0.04,0.04
coinw,0.95,0.78,0.21,0.2,0.15,0.14,0.12,0.1,0.06,0.04,0.04,0.03
okx,0.95,0.78,0.21,0.2,0.15,0.14,0.12,0.1,0.06,0.04,0.04,0.03
bitget,0.95,0.78,0.21,0.2,0.15,0.13,0.12,0.1,0.06,0.04,0.04,0.03
kucoin,0.94,0.77,0.21,0.19,0.15,0.13,0.11,0.09,0.05,0.03,0.03,0.02
gateio,0.94,0.77,0.2,0.18,0.14,0.12,0.1,0.08,0.04,0.03,0.02,0.01
