,xeggex,upbit,nonkyc,coinex,btcturk-pro,btcalpha,phemex-spot,bitmax,bybit-spot,fastex,coinw,latoken
fatbtc,1.63,1.51,1.24,1.16,1.14,1.13,1.13,1.11,1.1,1.09,1.08,1.08
probit,0.69,0.57,0.3,0.21,0.19,0.18,0.18,0.16,0.15,0.14,0.13,0.13
gateio,0.66,0.54,0.27,0.18,0.16,0.15,0.15,0.13,0.12,0.11,0.1,0.1
bitrue,0.66,0.53,0.26,0.18,0.16,0.15,0.15,0.12,0.12,0.11,0.1,0.09
cryptology,0.64,0.52,0.25,0.17,0.15,0.14,0.13,0.11,0.1,0.1,0.09,0.08
tidex,0.64,0.52,0.25,0.17,0.15,0.14,0.13,0.11,0.1,0.1,0.09,0.08
mxc,0.64,0.52,0.25,0.17,0.15,0.14,0.13,0.11,0.1,0.1,0.09,0.08
bydfi,0.64,0.52,0.25,0.17,0.15,0.14,0.13,0.11,0.1,0.1,0.09,0.08
exmo,0.63,0.51,0.24,0.15,0.13,0.12,0.12,0.1,0.09,0.08,0.07,0.07
kucoin,0.62,0.5,0.23,0.15,0.13,0.12,0.11,0.09,0.08,0.07,0.07,0.06
binance,0.61,0.48,0.21,0.13,0.11,0.1,0.1,0.07,0.07,0.06,0.05,0.04
coinsbit,0.6,0.48,0.21,0.13,0.11,0.1,0.09,0.07,0.06,0.05,0.05,0.04
